LogID,MessageSnippet,AnomalyScore
7568,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7573,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7577,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7579,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7581,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7591,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7595,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7597,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7599,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7601,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7603,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7607,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7611,DUT has not sent SCTP DATA chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7824,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7838,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7948,SCTP DATA Chunk (SIP INVITE request) is not sent by TEE to DUT.,-0.003274356779567611
7952,SCTP DATA Chunk (SIP INVITE request) is not sent by TEE to DUT.,-0.003274356779567611
7971,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7973,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7975,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7981,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7985,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7987,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7989,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7991,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7993,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7995,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7997,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
7999,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
8005,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
8007,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
8011,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-0.0024825546266350473
8026,DUT has not sent the SCTP HEARTBEAT Chunk packet with expected values.,-0.006232214385544499
8029,DUT has not sent the SCTP HEARTBEAT Chunk packet with expected values.,-0.006232214385544499
8496,DUT has not sent the SCTP INIT Chunk packet with expected values.,-0.0037142845984368122
8514,16:13:37.571 # TEST CASE ABORTED : DTMF RTP session packets are not received on TEE.,-0.0013151789724602514
8563,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
